#SIZE          NSTEPS         
5              7              
10             25             
15             45             
20             110            
25             141            
30             250            
35             343            
40             420            
45             539            
50             571            
55             773            
60             1140           
65             1140           
70             1315           
75             1531           
80             1589           
85             1975           
90             1981           
95             2577           
100            2234           
105            2599           
110            3000           
115            3459           
120            3878           
125            4416           
130            4725           
135            5062           
140            5435           
145            5821           
150            6118           
155            6620           
160            6554           
165            6691           
170            7079           
175            7692           
180            7744           
185            8478           
190            8796           
195            8956           
200            9614           
205            10610          
210            11179          
215            12859          
220            11112          
225            13144          
230            13419          
235            14087          
240            14507          
245            14124          
250            14822          
255            16094          
260            16787          
265            18224          
270            18316          
275            19734          
280            20251          
285            20691          
290            20646          
295            21885          
300            20873          
305            24116          
310            23609          
315            25871          
320            25631          
325            25703          
330            27682          
335            25677          
340            29051          
345            29549          
350            30525          
355            30624          
360            33425          
365            34624          
370            33270          
375            34697          
380            35328          
385            38201          
390            39985          
395            38787          
400            42353          
405            44752          
410            42604          
415            41984          
420            43940          
425            44477          
430            47894          
435            47502          
440            52550          
445            50643          
450            48738          
455            50368          
460            52311          
465            56056          
470            56667          
475            55012          
480            58904          
485            60695          
490            61022          
495            63781          
500            62026          
